SIGLA;CÓDIGO;DISCIPLINA;
ESZP013-13;CS4105;Dinâmicas Sócio-Espaciais do ABC Paulista;
ESZX122-13;BC1618;Dinâmicas Territoriais no Brasil;
ESTX089-13;EN2112;Direito Ambiental e Urbanístico;
ESZX052-13;EN3518;Direito Aplicado à Gestão (Empresarial);
ESHR002-13;BH1151;Direito Internacional Público ;
ESTA001-13;EN2719;Dispositivos Eletrônicos;
ESZP014-13;CS4106;Diversidade Cultural, Conhecimento Local e Políticas Públicas;
NHZ1017-09;NH1005;Ecologia Animal;
ESTX005-13;EN2128;Ecologia do Ambiente Antropizado;
ESZU005-13;EN3124;Ecologia do Ambiente Antropizado;
NHZ1018-09;NH1006;Ecologia Vegetal;
ESHC004-13;BH1110;Econometria I;
ESHC005-13;BH1114;Econometria II;
ESHC006-13;BH1136;Econometria III;
ESHC007-13;BH1109;Economia Brasileira Contemporânea I;
ESHC008-13;BH1113;Economia Brasileira Contemporânea II;
ESHC009-13;BH1137;Economia Brasileira Contemporânea III;
ESTX048-13;EN2418;Economia da Energia;
ESTE003-13;EN2424;Economia da Energia;
ESZP015-13;CS4107;Economia da Inovação Tecnológica;
ESTX065-13;EN2526;Economia de Empresas;
ESTG003-13;EN2533;Economia de Empresas;
ESZE046-13;EN3444;Economia de Reatores Nucleares;
ESZE057-13;EN4411;Economia do Petróleo e do Gás Natural;
ESZC003-13;BH1158;Economia do Setor Público;
ESHT005-13;BH1346;Economia do Território;
ESZC004-13;BH1119;Economia do Trabalho;
ESZC005-13;CS3203;Economia e Instituições no Brasil Contemporâneo;
ESHC010-13;BH1120;Economia e Meio Ambiente;
ESZX132-13;EN4122;Economia e Sociologia Urbana;
ESHC011-13;BH1111;Economia Industrial;
ESHC012-13;BH1117;Economia Institucional I;
ESZC006-13;BH1118;Economia Institucional II ;
ESHC013-13;BH1112;Economia Internacional I;
ESHC014-13;BH1115;Economia Internacional II;
ESHC015-13;BH1139;Economia Monetária;
ESHR003-13;BH1152;Economia Política da Segurança Alimentar Global;
ESHR004-13;BH1331;Economia Política Internacional da Energia;
ESZC007-13;BH1334;Economia Regional e Sociedade;
ESZP016-13;CS4108;Economia Solidária, Associativismo e Cooperativismo;
ESHT006-13;BH1157;Economia Urbana;
ESZU006-13;EN3105;Economia, Sociedade e Meio Ambiente;
ESZX080-13;EN4105;Economia, Sociedade e Meio Ambiente;
ESZX079-13;EN4104;Ecossistemas Terrestres, Aquáticos e Interfaces;
NHZ5003-09;NH4105;Educação à Distância e Novas Tecnologias;
ESZU025-13;BC1630;Educação Ambiental;
ESZX090-13;EN4117;Educação Ambiental;
NHT5004-13;BC1602;Educação Científica, Sociedade e Cultura;
NHZ3003-09;NH2242;Efeitos Biológicos das Radiações;
ESTX022-13;EN2303;Efeitos Biológicos das Radiações Não Ionizantes;
ESZX055-13;EN3530;Eficiência Energética;
ESTG004-13;EN2521;Elaboração, Análise e Avaliação de Projetos;
ESZP017-13;CS4109;Elementos de Ciência Política;
MCZB007-13;MC2204;Elementos Finitos;
ESZM007-13;EN3807;Elementos Finitos Aplicados em Materiais;
ESZE049-13;EN3425;Eletrificação Rural com Recursos Energéticos Renováveis;
NHT4005-13;NH3101;Eletroanalítica e Técnicas de Separação;
ESTA007-13;EN2720;Eletrônica Analógica Aplicada;
ESTX076-13;EN2709;Eletrônica Aplicada;
ESZA011-13;EN3712;Eletrônica de Potência I;
ESZA012-13;EN3713;Eletrônica de Potência II;
ESTI002-13;EN2605;Eletrônica Digital;
NHT4006-13;NH3905;Eletroquímica e Cinética Química;
ESZG013-13;EN3535;Empreendedorismo;
MCZA007-13;MC3103;Empreendedorismo e Desenvolvimento de Negócios;
ESZT003-13;CS3408;Energia e Abastecimento;
NHZ5005-09;BC1202;Energia e Meio Ambiente;
ESZR007-13;CS3310;Energia Nuclear e Relações Internacionais;
ESTX046-13;EN2416;Energia, Meio Ambiente e Sociedade;
ESTE004-13;EN2425;Energia, Meio Ambiente e Sociedade;
ESZX087-13;EN4113;Energia, Sociedade e Desenvolvimento;
ESTX045-13;EN2415;Energia: Fontes e Tecnologias de Conversão;
ESZE001-13;EN3462;Energia: Fontes e Tecnologias de Conversão;
BIJ0207-13;BC0207;Energia: Origens, Conversão e Uso;
ESTX025-13;EN2306;Engenharia Aplicada a Sistemas Biológicos I;
ESTX023-13;EN2304;Engenharia Aplicada a Sistemas Biológicos II;
ESZX024-13;EN3321;Engenharia Clínica I;
ESZB018-13;EN3340;Engenharia Clínica I;
ESZB019-13;EN3322;Engenharia Clínica II;
ESZE033-13;EN3476;Engenharia de Biocombustíveis I;
ESZE034-13;EN3477;Engenharia de Biocombustíveis II;
ESZM019-13;EN3817;Engenharia de Cerâmicas;
ESZE058-13;EN4412;Engenharia de Completação;
ESZM029-13;EN3827;Engenharia de Filmes Finos;
ESTX055-13;EN2506;Engenharia de Gestão - Visão Geral;
ESZM024-13;EN3822;Engenharia de Metais;
ESZE059-13;EN4413;Engenharia de Perfuração;
ESZM014-13;EN3813;Engenharia de Polímeros;
ESTX032-13;EN2313;Engenharia de Reabilitação e Biofeedback;
ESTB011-13;EN2328;Engenharia de Reabilitação e Biofeedback;
ESZE060-13;EN4414;Engenharia de Reservatórios I;
ESZE061-13;EN4415;Engenharia de Reservatórios II;
ESZI026-13;EN3631;Engenharia de Sistemas de Comunicação e Missão Crítica;
ESZE051-13;EN3427;Engenharia de Sistemas Eólicos;
ESZE050-13;EN3426;Engenharia de Sistemas Fotovoltaicos;
ESZE053-13;EN3431;Engenharia de Sistemas Solares Térmicos;
MCTA010-13;BC1508;Engenharia de Software;
ESZB006-13;EN3327;Engenharia de Tecidos;
ESZX018-13;EN3307;Engenharia de Tecidos e Órgãos Artificiais;
ESTX104-13;BC1711;Engenharia Econômica;
ESTO002-13;BC1713;Engenharia Econômica;
ESTX066-13;EN2527;Engenharia Econômica Aplicada à Engenharia de Gestão;
ESTG005-13;EN2535;Engenharia Econômica aplicada a Sistemas de Gestão;
ESZG031-13;EN3524;Engenharia Humana;
ESTG006-13;EN2522;Engenharia Laboral;
ESTG007-13;EN2510;Engenharia Logística;
ESZA018-13;EN3724;Engenharia Óptica e Imagens;
ESZE047-13;EN3445;Engenharia Unificada (Engenharia Nuclear);
ESTO900-13;EN1002;Engenharia Unificada I;
ESTO901-13;EN1004;Engenharia Unificada II;
ESZP018-13;CS4110;Ensino Superior no Brasil: Trajetórias e Modelos Institucionais;
MCTB011-13;BC1427;Equações Diferenciais Ordinárias;
MCTB012-13;MC1307;Equações Diferenciais Parciais;
ESTX033-13;EN2314;Equipamentos Médico-Hospitalares;
ESTB012-13;EN2329;Equipamentos Médico-Hospitalares;
ESZB013-13;EN3332;Ergonomia;
MCZC007-13;MC8108;Ergonomia Cognitiva;
ESTX020-13;EN2218;Escoamento Compressível;
ESZE062-13;EN4416;Escoamento Multifásico de Petróleo;
NHT4007-13;BC1107;Espectroscopia;
ESZX019-13;EN3309;Espectroscopia Óptica em Sistemas Biológicos;
ESTS007-13;EN2232;Estabilidade e Controle de Aeronaves;
ESZX005-13;EN3205;Estabilidade e Controle de Aeronaves;
ESHR005-13;BH1123;Estado e Desenvolvimento Econômico no Brasil Contemporâneo;
BHO0101-13;BH0101;Estado e Relações de Poder;
ESHP006-13;BH1124;Estado e Sociedade Civil Organizada;
ESTM001-13;EN2802;Estado Sólido;
ESTS900-13;EN1201;Estágio Curricular I em Engenharia Aeroespacial;
ESTU900-13;EN1101;Estágio Curricular I em Engenharia Ambiental e Urbana;
ESTB900-13;EN1301;Estágio Curricular I em Engenharia Biomédica;
ESTE900-13;EN1401;Estágio Curricular I em Engenharia de Energia;
ESTG900-13;EN1501;Estágio Curricular I em Engenharia de Gestão;
ESTI900-13;EN1601;Estágio Curricular I em Engenharia de Informação;
ESTA900-13;EN1701;Estágio Curricular I em Engenharia de Instrumentação, Automação e Robótica;
ESTM900-13;EN1801;Estágio Curricular I em Engenharia de Materiais;
ESTS901-13;EN1202;Estágio Curricular II em Engenharia Aeroespacial;
ESTU901-13;EN1102;Estágio Curricular II em Engenharia Ambiental e Urbana;
ESTB901-13;EN1302;Estágio Curricular II em Engenharia Biomédica;
ESTE901-13;EN1402;Estágio Curricular II em Engenharia de Energia;
ESTG901-13;EN1502;Estágio Curricular II em Engenharia de Gestão;
ESTI901-13;EN1602;Estágio Curricular II em Engenharia de Informação;
ESTA901-13;EN1702;Estágio Curricular II em Engenharia de Instrumentação, Automação e Robótica;
ESTM901-13;EN1802;Estágio Curricular II em Engenharia de Materiais;
ESTX098-13;EN1005;Estágio Orientado I;
ESTX099-13;EN1006;Estágio Orientado II;
NHT1020-13;NH4151;Estágio Supervisionado em Biologia I (Nível Médio);
NHT1021-13;NH4251;Estágio Supervisionado em Biologia II (Nível Médio);
NHT1022-13;NH4351;Estágio Supervisionado em Biologia III (Nível Médio);
NHT1023-13;NH1910;Estágio Supervisionado em Ciências Biológicas;
MCTA011-13;MC7110;Estágio Supervisionado em Computação I;
MCTA012-13;MC7111;Estágio Supervisionado em Computação II;
MCTA013-13;MC7112;Estágio Supervisionado em Computação III;
NHH2003-13;NH4508;Estágio Supervisionado em Filosofia I;
NHH2004-13;NH4509;Estágio Supervisionado em Filosofia II;
NHH2081-13;NH4510;Estágio Supervisionado em Filosofia III;
NHH2005-13;NH4511;Estágio Supervisionado em Filosofia IV;
NHH2006-13;NH4512;Estágio Supervisionado em Filosofia V;
NHT3004-13;NH4152;Estágio Supervisionado em Física I (Nível Médio);
NHT3005-13;NH4252;Estágio Supervisionado em Física II (Nível Médio);
NHT3006-13;NH4352;Estágio Supervisionado em Física III (Nível Médio);
MCTD001-13;MC8150;Estágio Supervisionado em Matemática I (Nível Médio);
MCTD002-13;MC8250;Estágio Supervisionado em Matemática II (Nível Médio);
MCTD003-13;MC8350;Estágio Supervisionado em Matemática III (Nível Médio);
NHT4008-13;NH4153;Estágio Supervisionado em Química I (Nível Médio);
NHT4009-13;NH4253;Estágio Supervisionado em Química II (Nível Médio);
NHT4010-13;NH4353;Estágio Supervisionado em Química III (Nível Médio);
NHT4011-13;NH3910;Estágio Supervisionado I - Bacharelado em Química;
NHT5006-13;BC1628;Estágio Supervisionado I (Nível Fundamental);
NHT4012-13;NH3911;Estágio Supervisionado II - Bacharelado em Química;
NHT5007-13;BC1629;Estágio Supervisionado II (Nível Fundamental);
ESTG011-13;EN2534;Estatística aplicada a Sistemas de Gestão;
NHH2007-13;BH1205;Estética;
NHH2008-13;BH1214;Estética: Perspectivas Contemporâneas;
ESZG018-13;EN3519;Estratégias de Comunicação Organizacional;
NHZ3007-09;NH3901;Estrutura Atômica e Molecular;
BIK0102-13;BC0102;Estrutura da Matéria;
NHZ4013-09;NH3803;Estrutura da Matéria Avançada;
MCZX021-13;BC1430;Estrutura de Dados I;
BIQ0602-13;BC0602;Estrutura e Dinâmica Social;
ESZX041-13;EN3446;Estrutura e Organização do Setor Energético;
MCZX001-13;MC7116;Estudo Dirigido em Computação I;
MCZX002-13;MC7117;Estudo Dirigido em Computação II;
MCZX003-13;MC7118;Estudo Dirigido em Computação III;
ESHT007-13;BH1347;Estudos do Meio Físico;
NHH2009-13;BH1203;Ética;
ESZX051-13;EN3517;Ética e Responsabilidade Social;
NHZ4014-09;BC1610;Ética Profissional;
