BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NABC1503SA;BC1503;2;Arquitetura de Computadores;Arquitetura de Computadores A-Noturno (Santo André);4;0;4 ;4 ;0 ;Ampliar vagas – Absorver excedente – procurar nova sala;#N/D;;OK - TURMA AMPLIADA 70 / NOVA SALA 302-1;70;SA;N;segunda das 19:00 às 21:00, sala S - 301-3, semanal , quarta das 21:00 às 23:00, sala S - 301-3, semanal ;0;;;;;;;;;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMC6004SA;MC6004;1;Avaliação de Desempenho de Redes;Avaliação de Desempenho de Redes A-diurno (Santo André);3;1;4 ;3 ;1 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SA;D;terca das 08:00 às 10:00, sala S - 304-2, semanal , quinta das 10:00 às 12:00, sala S - 304-2, semanal ;0;;;;;;;;;
ENGENHARIA AMBIENTAL E URBANA;DAEN2132SA;EN2132;2;Avaliação de Impactos Ambientais;Avaliação de Impactos Ambientais A-diurno (Santo André);4;0;3 ;4 ;0 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;60;SA;D;quarta das 08:00 às 12:00, sala S - 301-1, semanal ;0;;;;;;;;;
ENGENHARIA AMBIENTAL E URBANA;NAEN2132SA;EN2132;2;Avaliação de Impactos Ambientais;Avaliação de Impactos Ambientais A-Noturno (Santo André);4;0;3 ;4 ;0 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;60;SA;N;quarta das 19:00 às 23:00, sala S - 301-1, semanal ;0;;;;;;;;;
BACHARELADO EM POLÍTICAS PÚBLICAS;DABH1122SB;BH1122;2;Avaliação e Monitoramento de Políticas Públicas;Avaliação e Monitoramento de Políticas Públicas A-diurno (São Bernardo do Campo);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;42;SB;D;terca das 08:00 às 10:00, sala A2-S302-SB, semanal , quinta das 10:00 às 12:00, sala A2-S302-SB, semanal ;0;;;;;;;;;
BACHARELADO EM POLÍTICAS PÚBLICAS;NABH1122SB;BH1122;2;Avaliação e Monitoramento de Políticas Públicas;Avaliação e Monitoramento de Políticas Públicas A-Noturno (São Bernardo do Campo);4;0;4 ;4 ;0 ;manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;42;SB;N;terca das 19:00 às 21:00, sala A2-S302-SB, semanal , quinta das 21:00 às 23:00, sala A2-S302-SB, semanal ;0;;;;;;;;;
ENGENHARIA AEROESPACIAL;NAEN3234SA;EN3234;1;Aviônica;Aviônica A-Noturno (Santo André);4;0;4 ;4 ;0 ;Ampliar vagas - procurar nova sala;Informar o novo número de vagas;63;ok ampliado - nova sala S301-3;63;SA;N;segunda das 21:00 às 23:00, sala S - 307-1, semanal , quarta das 19:00 às 21:00, sala S - 307-1, semanal ;0;;;;;;;;;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;DAMC3310SA;MC3310;2;Banco de Dados;Banco de Dados A-diurno (Santo André);4;2;4 ;4 ;2 ;Ampliar vagas para 41 – overbooking no Lab;#N/D;;OK - TURMA AMPLIADA 41;41;SA;D;segunda das 10:00 às 12:00, sala S - 301-3, semanal , terca das 10:00 às 12:00, sala S - 301-3, semanal ;quinta das 08:00 às 10:00, sala 409-2, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO;NAMC3310SA;MC3310;2;Banco de Dados;Banco de Dados A-Noturno (Santo André);4;2;4 ;4 ;2 ;Ampliar vagas para 64 – Reservar L407-2 – procurar nova sala (overbooking no Lab);#N/D;;AMPLIADO - ALTERADO SALA S-302-1 - LAB. 407-2;64;SA;N;segunda das 21:00 às 23:00, sala S - 301-3, semanal , terca das 21:00 às 23:00, sala S - 301-3, semanal ;quinta das 19:00 às 21:00, sala 409-2, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A1-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;quinta das 08:00 às 11:00, sala L601/602, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA1BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A1-diurno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;D;0;quinta das 08:00 às 11:00, sala A1-L301-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BC0001SA;;0;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A1-Noturno (Santo André);0;3;2 ;0 ;0 ;Manter;¬0¬;;TURMA CANCELADA DEVIDO A QUANTIDADE RE REINGRESSNTES DO NOTURNO QUE JÁ FIZERAM ESTA DISCIPLINA;0;SA;N;0;quinta das 19:00 às 22:00, sala L601/602, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;NA1BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A1-Noturno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;N;0;quinta das 19:00 às 22:00, sala A1-L301-SB, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BC0001SA;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A2-diurno (Santo André);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;30;SA;D;0;quinta das 08:00 às 11:00, sala L602, semanal ;;;;;;;;;
BACHARELADO EM CIÊNCIA E TECNOLOGIA;DA2BC0001SB;BC0001;52;Base Experimental das Ciências Naturais;Base Experimental das Ciências Naturais A2-diurno (São Bernardo do Campo);0;3;2 ;0 ;3 ;Manter;¬0¬;;OK - MANTIDA COM ORIGINALMENTE OFERTADA;32;SB;D;0;quinta das 08:00 às 11:00, sala A1-L302-SB, semanal ;;;;;;;;;
